75	121
77	131
78	136
79	151
80	174
80	124
81	156
82	196
82	146
83	193
83	143
84	196
84	146
85	206
85	156
86	240
86	177
86	127
87	211
87	161
87	111
88	209
88	159
89	265
89	215
89	165
89	115
90	229
90	179
90	129
91	251
91	201
91	151
92	281
92	231
92	181
92	131
93	269
93	219
93	169
93	119
94	266
94	216
94	166
94	116
95	271
95	221
95	171
95	121
96	285
96	235
96	185
96	135
97	308
97	258
97	208
97	158
98	339
98	289
98	239
98	189
98	139
99	324
99	274
99	224
99	174
99	124
100	309
100	259
100	209
100	159
101	342
101	292
101	242
101	192
101	142
102	313
102	263
102	213
102	163
103	327
103	277
103	227
103	177
104	331
104	281
104	231
104	181
105	316
105	266
105	216
106	347
106	297
106	247
106	197
107	322
107	272
107	222
108	341
108	291
108	241
109	356
109	306
109	256
109	206
110	318
110	268
110	218
111	327
111	277
111	227
112	337
112	287
112	237
113	347
113	297
113	247
114	357
114	307
114	257
114	207
115	319
115	269
115	211
116	323
116	273
116	209
117	323
117	273
117	204
118	320
118	270
119	366
119	316
119	266
120	360
120	310
120	229
121	350
121	300
121	216
122	340
122	290
122	202
123	327
123	236
124	364
124	314
124	218
125	349
125	299
125	200
126	333
126	230
127	366
127	316
127	210
128	348
128	239
128	189
129	329
129	217
130	359
130	244
130	194
131	338
131	220
132	364
132	243
132	193
133	338
133	214
134	360
134	234
134	184
135	250
135	200
136	346
136	214
137	360
137	226
137	176
138	236
138	186
139	242
139	192
140	243
140	193
141	240
141	190
142	240
142	190
143	242
143	192
144	247
144	197
145	254
145	204
146	265
146	215
146	165
147	228
147	178
148	244
148	194
149	262
149	212
149	162
150	233
150	183
151	256
151	206
151	156
152	231
152	181
153	260
153	204
153	154
154	226
154	176
155	259
155	196
155	146
156	216
156	166
157	254
157	185
158	276
158	204
158	154
159	247
159	172
160	267
160	188
160	138
161	203
161	153
162	252
162	167
163	269
163	181
164	285
164	194
164	144
165	250
165	155
166	263
166	165
167	277
167	176
168	291
168	187
168	137
169	255
169	147
170	267
170	156
171	279
171	165
172	292
172	175
172	125
173	184
173	134
174	265
174	142
175	275
175	149
176	285
176	156
177	294
177	162
178	302
178	166
178	116
179	169
179	119
180	173
180	123
181	269
181	125
182	273
182	125
183	275
183	124
184	276
184	122
185	275
185	119
186	273
186	114
187	159
187	109
188	153
189	312
189	145
190	307
190	138
191	301
191	130
192	294
192	119
193	285
193	108
194	146
195	315
195	134
196	304
196	121
197	292
198	330
198	143
199	316
199	126
200	301
200	109
201	141
202	319
202	124
203	302
204	335
204	137
205	318
205	117
206	299
207	337
207	134
208	329
208	124
209	323
209	117
210	319
211	379
211	319
212	379
212	324
212	115
213	332
213	123
214	341
214	130
215	347
215	136
216	354
216	142
217	359
217	309
218	363
218	313
219	366
219	316
220	367
220	317
221	368
221	318
222	368
222	318
223	366
223	316
224	362
224	144
225	359
225	139
226	353
226	133
227	346
227	125
228	338
229	379
229	329
230	370
230	148
231	361
231	138
232	351
232	128
233	341
233	83
234	341
234	88
235	349
235	99
236	363
236	136
237	379
237	151
237	83
238	348
238	105
239	371
239	141
239	80
240	347
240	109
241	376
241	146
241	93
242	359
242	145
242	95
243	361
243	155
243	105
244	371
244	174
244	115
245	380
245	184
245	124
246	389
246	194
246	132
246	82
247	203
247	139
247	89
248	355
248	144
248	94
249	360
249	152
249	102
250	367
250	171
250	111
251	377
251	180
251	125
252	391
252	194
252	144
252	94
253	357
253	159
253	109
254	369
254	169
254	119
255	376
255	174
255	124
256	377
256	174
256	124
257	372
257	164
257	114
258	188
258	138
259	204
259	154
259	104
260	168
260	118
261	179
261	129
262	185
262	135
263	184
263	134
264	180
264	130
265	175
265	125
266	168
267	210
267	160
268	200
268	150
269	190
269	140
270	180
271	220
271	170
272	209
272	159
273	197
273	147
274	183
275	219
275	169
276	205
276	155
277	190
278	225
278	175
279	211
279	161
280	197
281	234
281	184
282	222
282	172
283	211
284	249
284	199
285	238
285	188
286	229
286	179
287	222
288	268
288	218
289	268
289	218
290	270
290	220
291	275
291	225
292	284
292	234
292	184
293	245
293	195
294	259
294	209
295	277
295	227
296	296
296	246
296	196
297	268
297	218
298	293
298	243
298	193
299	270
299	220
300	299
300	249
300	199
301	281
301	231
302	311
302	261
302	204
303	290
303	240
304	319
304	269
304	208
305	298
305	248
305	185
306	277
306	212
307	305
307	255
307	188
308	283
308	214
309	310
309	260
309	189
310	287
310	214
311	313
311	263
311	188
312	290
312	213
313	320
313	270
313	190
314	300
314	250
315	333
315	283
315	199
316	317
316	267
317	353
317	303
317	213
318	337
318	287
318	195
319	320
319	270
320	349
320	299
320	200
321	324
321	274
322	345
322	295
322	190
323	314
323	208
324	332
324	282
325	347
325	297
326	362
326	312
326	202
327	326
327	214
328	338
328	288
329	347
329	297
330	354
330	304
331	360
331	310
332	365
332	315
332	193
